지점,지점명,일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일조시간(hr)
127,충주,2014-03,6.9,25,-7.1,37.7,214.6
127,충주,2014-04,13.1,26.9,-1.1,39.6,225.1
127,충주,2014-05,18.5,34.7,3.6,26.3,305.8
127,충주,2014-06,22.7,31.1,14.7,63.3,199.7
127,충주,2014-07,25.5,34.9,16.6,92.6,178.8
127,충주,2014-08,23.8,34.6,16.6,284.3,129.7
127,충주,2014-09,20.4,31,9.5,122.7,202.1
127,충주,2014-10,13.1,27.2,.9,153.8,226.3
127,충주,2014-11,6.8,17.5,-4.5,23.5,161.4
127,충주,2014-12,-3.7,9.2,-14.2,22.9,173.9
127,충주,2015-01,-1.7,8.9,-13.8,15.6,164.8
127,충주,2015-02,.6,12.9,-13.5,22.8,167.9
127,충주,2015-03,5.6,23.3,-8.5,31.7,270.7
127,충주,2015-04,12.5,27.4,1.3,88.9,187.5
127,충주,2015-05,18.5,32.5,4.1,23,296.3
127,충주,2015-06,23,34.8,10.8,75,245.8
127,충주,2015-07,25,34.5,14,181.6,164.3
127,충주,2015-08,25.3,36.1,16.2,71.8,200.9
127,충주,2015-09,19.9,30.3,9.9,33.8,212.6
127,충주,2015-10,13.4,26.7,-3.4,60.2,211.6
127,충주,2015-11,8.7,20.5,-4.9,89.9,56.5
127,충주,2015-12,1.2,12,-11.8,37.5,127.5
127,충주,2016-01,-3.2,11.4,-17,1.8,164.1
127,충주,2016-02,-.1,16.9,-13.4,50.1,176.3
127,충주,2016-03,6.4,21,-12.4,11.9,182.2
127,충주,2016-04,14.1,29.9,1.8,97.3,189
127,충주,2016-05,18.8,32,6.2,70,248.4
127,충주,2016-06,23.3,32.5,11.7,38.9,215.5
127,충주,2016-07,25.7,34,18.8,374.4,154.8
127,충주,2016-08,26.8,36.7,13.8,44,222.5
127,충주,2016-09,21.5,31.7,9.9,60.8,120.1
127,충주,2016-10,14.8,29,-.9,102.6,104.8
127,충주,2016-11,5.9,22.5,-7.6,22.9,129.9
127,충주,2016-12,.6,15.6,-11.2,42.4,128.3
127,충주,2017-01,-2.5,13.3,-16,18,171.3
127,충주,2017-02,-.2,13.8,-11.9,36.2,200.7
127,충주,2017-03,5.5,19.6,-6.8,22.5,223.8
127,충주,2017-04,13.5,28.8,.3,71.4,245.3
127,충주,2017-05,18.7,31.7,5.9,32.2,294.4
127,충주,2017-06,22.4,34,9.6,43.7,258.4
127,충주,2017-07,26.3,34.2,19.2,464.3,112
127,충주,2017-08,25.1,36.3,13.4,257.9,161.8
127,충주,2017-09,19.6,29.6,7.1,62.4,207.1
127,충주,2017-10,14.3,27.4,-2.4,21.2,171.9
127,충주,2017-11,4.4,20.2,-9.2,17.6,170.3
127,충주,2017-12,-2.8,10.3,-14.5,25.5,169.8
127,충주,2018-01,-4.7,8.6,-19.2,14.3,162.1
127,충주,2018-02,-2.5,12.1,-17.4,35.8,195.8
127,충주,2018-03,7.5,23,-7.5,75.1,197.9
127,충주,2018-04,12.8,30,-1.5,107.9,215.3
127,충주,2018-05,17.9,30.7,4.9,180,206.5
127,충주,2018-06,22.7,33.3,13,63.7,225.6
127,충주,2018-07,27.2,37.6,16.5,149.1,246.2
127,충주,2018-08,27.6,40,17.6,353.3,195.4
127,충주,2018-09,19.9,29.8,7.3,184.9,185.8
127,충주,2018-10,11.1,25.8,-1.3,96,186.9
127,충주,2018-11,5.9,19.6,-5.6,50,160.3
127,충주,2018-12,-1.8,14.5,-14.8,39,170.5
127,충주,2019-01,-2.6,8.6,-13.2,4.1,204.4
127,충주,2019-02,.4,13.2,-11.6,29,182.4
127,충주,2019-03,6,19.7,-5.4,27.9,200.7
127,충주,2019-04,11.4,28.7,-3.6,58.5,203.4
127,충주,2019-05,18.3,33.5,2.7,15.4,298.6
127,충주,2019-06,21.7,32.8,9.5,59.6,211.9
127,충주,2019-07,25,34.9,15.3,161.4,138.4
127,충주,2019-08,26,35.5,16.6,102.6,211.4
127,충주,2019-09,21.1,31.5,10.8,165.9,131.2
127,충주,2019-10,14.2,27,1.1,59,178.1
127,충주,2019-11,6.2,20.2,-5.9,84.6,162.8
127,충주,2019-12,-.1,13.7,-11.7,27.5,138.6
127,충주,2020-01,.6,13.8,-9.7,60.2,142.8
127,충주,2020-02,1.8,15.6,-13,61.9,178.7
127,충주,2020-03,7,22.1,-6.2,20.7,240.5
127,충주,2020-04,10.2,25.6,-3.1,25.9,273.2
127,충주,2020-05,17.8,29.6,5,109.7,213.6
127,충주,2020-06,23.4,34.4,11.6,112.1,201.7
127,충주,2020-07,23.1,32.4,16.7,352.2,106.3
127,충주,2020-08,26.1,34.5,20.7,505.6,120
127,충주,2020-09,19.6,30.2,10.1,146.4,172.4
127,충주,2020-10,11.8,24.6,-1.5,10.7,220.9
127,충주,2020-11,6.5,23.4,-6,30,172.9
127,충주,2020-12,-2.7,11.3,-17,11.1,179
127,충주,2021-01,-3.6,13.3,-19.6,13.6,179.7
127,충주,2021-02,1.7,22.3,-11.9,12.3,197.3
127,충주,2021-03,8.1,23.2,-3.1,80.5,213.9
127,충주,2021-04,13.1,29.4,0,63.4,227.9
127,충주,2021-05,16.2,30,3.2,178.4,192.9
127,충주,2021-06,22.1,31.6,11.5,130.4,194.6
127,충주,2021-07,26.4,34.7,19.8,310.7,226.8
127,충주,2021-08,24.4,34.9,17.8,239.9,143.1
127,충주,2021-09,21,29.1,12.7,240.3,185.5
129,서산,2014-01,-.8,9.9,-11.1,7,181.2
129,서산,2014-02,1.5,15.5,-8.2,17,157.9
129,서산,2014-03,6.4,22.5,-7.3,31.2,217.7
129,서산,2014-04,12.2,26.2,-2.2,85.6,224.8
129,서산,2014-05,16.9,29.1,3.3,52.7,288.4
129,서산,2014-06,21.9,29.1,16.1,69.3,203.2
129,서산,2014-07,24.5,33.7,18,151.7,159.4
129,서산,2014-08,23.6,32,17,242.3,146.3
129,서산,2014-09,20.6,29.9,12.2,106.7,207.9
129,서산,2014-10,14.4,27.3,.4,117.2,245.3
129,서산,2014-11,8.2,20.3,-2.9,37.8,159.3
129,서산,2014-12,-1.4,9.9,-10.5,81.6,142.6
129,서산,2015-01,-.4,11,-10.1,20.7,174.3
129,서산,2015-02,1,11.9,-10.5,23.1,164.6
129,서산,2015-03,4.9,21.3,-7.5,20.6,262.1
129,서산,2015-04,11.9,25.8,1.1,116.8,194.1
129,서산,2015-05,16.8,30,3.9,40.6,280.8
129,서산,2015-06,21.3,30,11.3,64.1,228.8
129,서산,2015-07,24.1,32.8,14.1,158.5,169.3
129,서산,2015-08,24.9,33.7,16.7,63.1,204.6
129,서산,2015-09,20.7,30.1,11.5,15.1,241.6
129,서산,2015-10,14.8,25.8,.3,73.1,229.5
129,서산,2015-11,9.5,20.6,-2.1,156.6,82.4
129,서산,2015-12,2.8,13.2,-7.8,63.6,152.3
129,서산,2016-01,-1.6,10.7,-12.7,21.9,155.4
129,서산,2016-02,.6,18,-11.5,61.7,189.3
129,서산,2016-03,5.9,22.8,-9.7,24.3,247.8
129,서산,2016-04,12.5,27.8,.4,87,210.8
129,서산,2016-05,17.9,30.9,6.8,153.7,277.8
129,서산,2016-06,21.9,30.4,15,36.8,219.3
129,서산,2016-07,25.2,32.4,17.4,295.6,177.6
129,서산,2016-08,26.4,34.6,17,34,240.1
129,서산,2016-09,21.7,30.4,12.9,53.1,169.9
129,서산,2016-10,15.3,28.2,-.5,73.8,161.5
129,서산,2016-11,7.2,19.9,-4.5,17.5,172.5
129,서산,2016-12,2.2,16.1,-9.3,62.7,160.9
129,서산,2017-01,-1.2,11,-12.9,21.3,177.6
129,서산,2017-02,-.4,11,-9.8,31.4,203.7
129,서산,2017-03,4.5,17.6,-6.4,4.8,260.1
129,서산,2017-04,12,25.9,-1.3,38.9,260.9
129,서산,2017-05,17.4,28.5,6.7,27.9,304.4
129,서산,2017-06,21.2,31.8,10.3,23.3,264.4
129,서산,2017-07,25.8,33,20.8,327.8,112.3
129,서산,2017-08,25.2,34.7,15.3,231.3,182.9
129,서산,2017-09,20.6,30.2,7.9,37.6,245.7
129,서산,2017-10,15,25.8,.4,25.5,213.8
129,서산,2017-11,6.2,20.2,-4.7,24.7,211.9
129,서산,2017-12,-.4,10.7,-11,35.9,187
129,서산,2018-01,-3.2,8,-15.9,21,178.8
129,서산,2018-02,-1.7,9.3,-15.3,40.5,206.3
129,서산,2018-03,6.7,20.5,-7.2,76.6,206.6
129,서산,2018-04,11.7,25,-1.9,132.8,235.3
129,서산,2018-05,17.1,28.5,7.2,147.7,233.8
129,서산,2018-06,21.6,32.4,13.2,162.3,237.5
129,서산,2018-07,26.5,36.5,18.3,152.9,279.3
129,서산,2018-08,27.4,37.1,19.1,156.8,255.4
129,서산,2018-09,20.3,30,8.8,82.7,214.2
129,서산,2018-10,12.3,24.9,.1,153.2,246.5
129,서산,2018-11,7.4,19.5,-2.9,73.9,179.7
129,서산,2018-12,.6,16.4,-12.3,26.8,186.6
129,서산,2019-01,-1.1,9.3,-10.9,1.1,207.3
129,서산,2019-02,.4,13.9,-9.7,30.2,179.4
129,서산,2019-03,5.8,18.1,-5.6,43.7,227.2
129,서산,2019-04,11,28.5,-3.7,43.9,207.8
129,서산,2019-05,17.3,29.2,3.2,20.1,312.1
129,서산,2019-06,20.9,31.1,11.1,56.3,218.9
129,서산,2019-07,24.6,34.8,16.1,174.5,180.2
129,서산,2019-08,25.9,36.3,16,121.1,241.3
129,서산,2019-09,21.6,29.3,11.1,181.1,148.6
129,서산,2019-10,15.5,28.3,3.7,81,220.5
129,서산,2019-11,7.8,20.8,-3.1,124.6,185.2
129,서산,2019-12,2.4,15.6,-8.3,37.4,162.7
129,서산,2020-01,1.8,13.1,-7.1,46,161.7
129,서산,2020-02,2.5,16.4,-10.3,72.3,196.2
129,서산,2020-03,6.5,20.1,-5.5,23,254.5
129,서산,2020-04,9.8,22.7,-1.6,20.7,300.7
129,서산,2020-05,16.9,28.7,6.8,101.3,215.4
129,서산,2020-06,22.1,33.7,13.6,144,216.8
129,서산,2020-07,23,32.1,16.4,329.4,129.7
129,서산,2020-08,26.2,34.9,21.1,400,129.5
129,서산,2020-09,20.5,30.5,11.1,257.7,202.3
129,서산,2020-10,13.3,24.1,1.8,12.6,240.1
129,서산,2020-11,8,21.2,-3.4,72,169.9
129,서산,2020-12,.5,12.9,-10.5,9.7,168.5
129,서산,2021-01,-1.8,13.6,-19.7,25.3,170.8
129,서산,2021-02,2.5,16.7,-11.1,9.6,192.8
129,서산,2021-03,7.5,23.4,-3.7,112.8,217.7
129,서산,2021-04,12.8,28.1,.9,110.6,226.3
129,서산,2021-05,16.2,30,5.6,132.3,215.5
129,서산,2021-06,21.9,32.2,11.6,70.9,219.8
129,서산,2021-07,26.7,35.8,18.8,121.6,251.7
129,서산,2021-08,25.2,34.5,18,217.8,170.5
129,서산,2021-09,21.9,29.9,13.8,206,197
130,울진,2014-01,2,14.3,-7.7,38.1,213.7
130,울진,2014-02,2.1,17.6,-7.5,65.7,110.3
130,울진,2014-03,7.7,27.2,-5.1,62.4,195.8
130,울진,2014-04,12.4,26.9,1.2,236.9,224.7
130,울진,2014-05,17.9,30.3,4.6,7.4,285.2
130,울진,2014-06,19.6,33.7,14,77.1,150.2
130,울진,2014-07,24.2,34.1,15.6,51.6,231.9
130,울진,2014-08,22.3,30.9,14.3,331.6,99.4
130,울진,2014-09,20,28.5,11,139.3,200.5
130,울진,2014-10,15.2,26.6,5.2,195,209.7
130,울진,2014-11,9.8,21.5,-1.9,75.9,176.6
130,울진,2014-12,1.3,13.5,-9.5,1.6,223.1
130,울진,2015-01,2.3,10.8,-7,29.8,191.9
130,울진,2015-02,3,16.9,-10.4,13.6,195.6
130,울진,2015-03,7.3,22.7,-6.1,29.1,276
130,울진,2015-04,11.8,31.7,1.2,78.8,187.9
130,울진,2015-05,17.6,31.5,7.2,8,300.3
130,울진,2015-06,18.9,28.2,9.3,99.1,202
130,울진,2015-07,22.2,32.7,13.5,120.2,202.3
130,울진,2015-08,24.3,35.5,17.4,125.4,208
130,울진,2015-09,19.5,26.9,12.1,38.1,199.2
130,울진,2015-10,15.3,26.8,.9,10.7,253.5
130,울진,2015-11,10.3,21.2,-1.3,249.3,94
130,울진,2015-12,5.3,16.1,-5.8,17,165.6
130,울진,2016-01,.8,14.7,-13.5,12.8,208.5
130,울진,2016-02,2.6,13.4,-8.3,40.6,215.5
130,울진,2016-03,7.1,20.7,-5,26.8,203.3
130,울진,2016-04,12.5,29.4,3.6,103.8,204
130,울진,2016-05,16.6,28.8,5.3,18,294.3
130,울진,2016-06,20.4,29.3,10.1,45.4,214.3
130,울진,2016-07,23,33.9,17.1,323.9,158
130,울진,2016-08,24.9,32.9,15.1,114.3,240.1
130,울진,2016-09,20.6,28.8,13.1,243,122.6
130,울진,2016-10,15.6,25.2,5.2,96.7,144.3
130,울진,2016-11,9.1,22.2,-2.2,58.4,177.8
130,울진,2016-12,5.5,18.4,-5.2,112.6,181.7
130,울진,2017-01,2.1,13.8,-8.8,60.4,211.9
130,울진,2017-02,3.6,18.5,-7.2,19.1,217.7
130,울진,2017-03,6.6,18.1,-3.2,30.5,210.7
130,울진,2017-04,13.8,31.2,2.8,55.5,240
130,울진,2017-05,18.2,34,6.7,28.5,279.8
130,울진,2017-06,19.2,31.3,9.8,22.4,269.2
130,울진,2017-07,24.8,37.1,18,131.2,170.7
130,울진,2017-08,24.1,34.1,14.6,267.1,146.8
130,울진,2017-09,20.5,29.6,11.6,92.8,212.8
130,울진,2017-10,15.3,25,3.6,133.9,133.9
130,울진,2017-11,8.9,23.8,-3.1,8.1,203
130,울진,2017-12,1.5,13.1,-9,8,226.5
130,울진,2018-01,.1,13.8,-13.3,9.8,206.5
130,울진,2018-02,.8,13.1,-11,32.2,209.5
130,울진,2018-03,8.8,26.8,-2.7,130.6,215.3
130,울진,2018-04,13.6,33.2,1.2,167.1,236.3
130,울진,2018-05,16.4,30.1,6.1,46.2,192.9
130,울진,2018-06,20.2,34.2,11.3,27,204.1
130,울진,2018-07,24.7,35,15.5,229,235.4
130,울진,2018-08,25.5,36.6,18.7,211.3,172
130,울진,2018-09,19.9,29.3,11.3,143.7,136.3
130,울진,2018-10,13.5,23.8,1.6,336.1,205.7
130,울진,2018-11,8.9,19.1,-1.9,82.9,163.2
130,울진,2018-12,3.2,21.4,-9.2,20.3,206.4
130,울진,2019-01,2.9,15.3,-5.4,15.6,240.6
130,울진,2019-02,4.3,15.3,-3.7,19.9,204
130,울진,2019-03,8.7,23.3,-1.6,47.9,245.4
130,울진,2019-04,11.6,26.5,.7,106.2,220.7
130,울진,2019-05,18.1,35.6,4.3,17.5,284.5
130,울진,2019-06,19.3,30.4,11.6,142.1,240
130,울진,2019-07,24.2,34.9,17.5,135.9,194.5
130,울진,2019-08,25.1,35.8,17.3,140.5,214.8
130,울진,2019-09,21.1,30.7,10.7,184.5,128.9
130,울진,2019-10,16.2,25.3,5.5,661.3,165.4
130,울진,2019-11,10.1,20.6,-1.6,94.5,185.6
130,울진,2019-12,5.1,17.7,-5.2,15.3,204.8
130,울진,2020-01,4.4,12.8,-4,103,165
130,울진,2020-02,4.9,18.1,-6.6,64.8,201.4
130,울진,2020-03,8.3,24.4,-3,35.8,243
130,울진,2020-04,11.4,29,.4,54.3,263.1
130,울진,2020-05,17.2,32.8,6.1,58.9,244.3
130,울진,2020-06,21.1,33.7,13.9,126.9,238.7
130,울진,2020-07,20.8,31.7,14.4,482.7,130
130,울진,2020-08,25.5,35,19.7,148.9,150.6
130,울진,2020-09,20,30.3,11.1,236.3,177.5
130,울진,2020-10,14.3,26.8,5.2,1.9,220.5
130,울진,2020-11,10.1,22.7,-.7,21.3,199
130,울진,2020-12,2.4,14.6,-11,1.4,229.2
130,울진,2021-01,.6,15.7,-16.1,7.2,212.1
130,울진,2021-02,4.8,24,-9.8,3.1,211.1
130,울진,2021-03,8.9,20.4,-3.6,106.6,205.8
130,울진,2021-04,12.1,25.9,.9,76.2,223.9
130,울진,2021-05,16,28.5,6.9,137.2,205.4
130,울진,2021-06,19.9,29,13.3,49.5,190
130,울진,2021-07,24.7,32.5,18.4,120.2,233.7
130,울진,2021-08,24,31.9,17.9,291.3,134.4
130,울진,2021-09,21,28.8,15.1,142.7,158.4
131,청주,2014-01,.1,10.3,-9.7,5.9,177.2
131,청주,2014-02,2.9,16.5,-8.5,6.8,135.5
131,청주,2014-03,8.5,25.9,-3.7,51.1,216.9
131,청주,2014-04,14.7,27.6,2,43.7,219.3
131,청주,2014-05,19.8,34.5,6.3,35,292.1
131,청주,2014-06,23.5,32,16.8,92.6,189.7
131,청주,2014-07,26.5,36,19.6,125.1,173.1
131,청주,2014-08,24.9,34.1,18.7,197.5,132
131,청주,2014-09,22.3,31.5,14.1,147.5,199.3
131,청주,2014-10,15.5,27.8,3.7,151.1,223.5
131,청주,2014-11,9,18.1,-1.1,24.8,160.4
131,청주,2014-12,-1.2,10.2,-8.7,32.6,170.1
131,청주,2015-01,.3,10,-9,16,158.2
131,청주,2015-02,2.2,13.4,-10.8,26.5,168.4
131,청주,2015-03,7.5,23.6,-5.1,44.1,263.8
131,청주,2015-04,13.9,28.4,4.6,109.1,184.8
131,청주,2015-05,20,32.4,7.6,24.4,284.4
131,청주,2015-06,23.7,34.8,14.9,83.3,227.6
131,청주,2015-07,25.4,34.2,16.3,141.4,182.8
131,청주,2015-08,26.3,36.4,19.2,54.3,228.8
131,청주,2015-09,21.5,30.3,13,20.1,234.7
131,청주,2015-10,15.3,25.2,1,90.5,250.3
131,청주,2015-11,9.6,20.3,-4.1,107.5,81.4
131,청주,2015-12,2.5,12.8,-8,39.7,146.7
131,청주,2016-01,-1.8,11.5,-16.3,5.7,181.3
131,청주,2016-02,1,18.8,-9.4,45.5,197.3
131,청주,2016-03,7.3,20.6,-7.3,13.2,244.2
131,청주,2016-04,14.7,29.1,5.8,132.1,220.5
131,청주,2016-05,19.9,31.3,9.5,84.4,288.5
131,청주,2016-06,23.6,32,15.7,39.9,238
131,청주,2016-07,26.3,33.8,19.4,320,192.2
131,청주,2016-08,27.6,36.3,16.3,69,247.8
131,청주,2016-09,22.7,31.4,13.4,78.1,163.9
131,청주,2016-10,15.9,29,1.8,83.6,150.7
131,청주,2016-11,6.9,21,-4.2,26.4,182.4
131,청주,2016-12,2.3,14.3,-7.5,40.1,161.5
131,청주,2017-01,-.8,12.8,-11.1,12,195.4
131,청주,2017-02,.8,13.8,-7.7,38.7,219.8
131,청주,2017-03,6.8,18.8,-3.6,8.9,251.2
131,청주,2017-04,14.7,29.1,2.2,61.7,265.9
131,청주,2017-05,20,33.1,10.9,11.9,312.1
131,청주,2017-06,23.4,34.9,14,17.5,273.7
131,청주,2017-07,27.1,34.4,21.9,789.1,139.9
131,청주,2017-08,26.1,36.7,16.8,225.2,198.4
131,청주,2017-09,21.5,29.3,11.5,78.3,234.1
131,청주,2017-10,15.9,28.1,1.1,23.1,206.5
131,청주,2017-11,6.1,19.5,-4.6,13.7,208.1
131,청주,2017-12,-.6,10.5,-10.8,21.1,188.4
131,청주,2018-01,-2.9,8.8,-15.8,17.6,183.5
131,청주,2018-02,-.7,13.5,-13.9,30.6,217.3
131,청주,2018-03,8.5,23.5,-5.2,81.7,195.5
131,청주,2018-04,14.1,29.6,1,133,236.7
131,청주,2018-05,19.3,31.1,8.3,92,238.5
131,청주,2018-06,23.8,33.4,16.5,63.3,245
131,청주,2018-07,28.2,37.8,18.5,324.9,272.2
131,청주,2018-08,28.9,39.1,19,247.9,228.6
131,청주,2018-09,21.3,30.2,10.7,204,210.8
131,청주,2018-10,13.3,25.9,2.9,112.2,231.8
131,청주,2018-11,8.4,19.3,-1.6,45.9,184.6
131,청주,2018-12,.3,14.6,-11.6,28.5,196.3
131,청주,2019-01,-.1,8.8,-8.6,.1,217.2
131,청주,2019-02,1.9,13.8,-7.9,23,189.4
131,청주,2019-03,7.8,20.3,-1.4,20.3,210.6
131,청주,2019-04,13.1,29.8,.6,60.8,206.1
131,청주,2019-05,20.2,33.4,7.5,20.3,299.9
131,청주,2019-06,23,33,13.6,82.5,223.2
131,청주,2019-07,26.3,35.5,19,204.8,162.8
131,청주,2019-08,27.6,36.7,19.5,80.5,215.2
131,청주,2019-09,22.9,32.1,12.8,155.1,148.9
131,청주,2019-10,16.5,27.9,5.8,84.3,202.4
131,청주,2019-11,8.7,20.9,-2.3,104.9,195.1
131,청주,2019-12,2.3,14.6,-8.2,20.1,161.4
131,청주,2020-01,2.6,13.3,-7,62,151.2
131,청주,2020-02,3.5,16.4,-10,62.7,188.3
131,청주,2020-03,8.5,22.5,-3,22.9,244.1
131,청주,2020-04,11.8,26.6,2.4,15.7,286.3
131,청주,2020-05,19.2,29.8,9.8,65.3,229.5
131,청주,2020-06,24.5,34.4,15.6,145.9,199.4
131,청주,2020-07,24.3,32.8,17.7,386.6,109.4
131,청주,2020-08,27.7,36,22.2,385.8,145.8
131,청주,2020-09,21.5,31.7,13.1,160.6,184.4
131,청주,2020-10,14.5,25.2,4.6,5.8,224.3
131,청주,2020-11,8.8,21.2,-1.9,41,178.4
131,청주,2020-12,.4,12.1,-13.7,4.3,178.8
131,청주,2021-01,-1.4,13.5,-16.3,12.7,188.6
131,청주,2021-02,3.6,22.1,-9.2,7.5,203.2
131,청주,2021-03,9.6,23.8,-1.2,76.6,220.4
131,청주,2021-04,14.8,29.7,3.7,46.4,229.3
131,청주,2021-05,17.8,31.3,7.5,136.4,200.8
131,청주,2021-06,23.8,33.5,13.8,75.4,205.9
131,청주,2021-07,28.3,36.4,21.6,138.1,232.2
131,청주,2021-08,26.1,35.5,18.6,233.1,149
131,청주,2021-09,22.8,30.1,16.3,185,181.5
133,대전,2014-01,-.1,11.3,-10.6,6.5,188.9
133,대전,2014-02,2.7,15.6,-10.7,8.5,147.7
133,대전,2014-03,8.3,25.7,-4.5,67.2,220.2
133,대전,2014-04,14.3,27.2,.3,59.4,225
133,대전,2014-05,19.4,33.3,5.7,49.7,307.8
133,대전,2014-06,22.9,31.1,16.5,143.7,201
133,대전,2014-07,25.9,34.9,19.3,177.2,183.1
133,대전,2014-08,24.2,31.8,18.6,240.9,126.3
133,대전,2014-09,21.6,31.1,12.9,118,206.2
133,대전,2014-10,14.9,27.1,2.5,169.4,237
133,대전,2014-11,8.5,18.1,-2,40.7,165.4
133,대전,2014-12,-1.3,10.1,-10.5,36.5,169.7
133,대전,2015-01,0,10.3,-9.9,31.5,165.5
133,대전,2015-02,1.9,12.4,-12.4,27,168.2
133,대전,2015-03,7.2,23.4,-6,44.7,264.2
133,대전,2015-04,13.3,27,3.3,95.2,179.3
133,대전,2015-05,19.5,32.1,5.7,28.9,297.3
133,대전,2015-06,23.4,35,13.5,119.8,220
133,대전,2015-07,25.4,34.3,16.5,145.6,188.9
133,대전,2015-08,26.4,36.3,18.7,51.6,228.5
133,대전,2015-09,21.7,31.3,12.8,18.5,241.6
133,대전,2015-10,15.5,26.7,-.1,94.1,249.2
133,대전,2015-11,10.1,21.4,-2.3,126.1,74.5
133,대전,2015-12,3.1,14.2,-7.6,39.7,140.7
133,대전,2016-01,-1.3,14.1,-17,11.6,181.1
133,대전,2016-02,1.5,18.7,-9.7,45.8,195.5
133,대전,2016-03,7.5,22.9,-7.5,40.3,238.3
133,대전,2016-04,14.8,29.2,4.8,154.9,219.7
133,대전,2016-05,19.8,31.3,9.2,85.1,289.4
133,대전,2016-06,23.7,32,14.6,62.5,221.9
133,대전,2016-07,26.6,34.7,20,367.9,202.9
133,대전,2016-08,27.9,37.6,15.8,57.4,256
133,대전,2016-09,22.4,31.5,12.8,196,146.8
133,대전,2016-10,15.7,27.9,1.2,122.6,149.9
133,대전,2016-11,7.2,21.9,-4.9,29.5,179.2
133,대전,2016-12,2.5,14.8,-8.3,54.8,159.4
133,대전,2017-01,-.4,14.8,-11.8,15,191.4
133,대전,2017-02,1.2,15.5,-9,42,213.2
133,대전,2017-03,6.8,19.5,-3.7,11.6,247.6
133,대전,2017-04,14.5,28.6,1.9,77.7,268.3
133,대전,2017-05,19.6,30.7,10.5,29.3,303
133,대전,2017-06,23.3,34.8,12,35.3,276.1
133,대전,2017-07,27.1,34,22.3,434.5,146
133,대전,2017-08,26,35.9,16,293.8,194.6
133,대전,2017-09,21.1,29.2,9.8,111.4,223.9
133,대전,2017-10,15.4,27,.4,28.3,191.3
133,대전,2017-11,6.4,20.8,-5.8,15.1,195.3
133,대전,2017-12,-.4,12.8,-11.4,33.5,181.3
133,대전,2018-01,-2.5,11,-16.3,23.9,180.2
133,대전,2018-02,-.4,13.1,-13.9,40.5,203
133,대전,2018-03,8.7,24.2,-6.2,108.4,202.6
133,대전,2018-04,13.9,30,.8,155.3,234
133,대전,2018-05,19.2,31,7.8,95.9,226.4
133,대전,2018-06,23.6,33.8,15.8,115.8,232.3
133,대전,2018-07,27.9,37.3,17.5,226.9,254.8
133,대전,2018-08,29,39.4,19.5,408.6,220.5
133,대전,2018-09,21.2,29.8,9.9,149.4,196.7
133,대전,2018-10,13,25.6,1.5,133.9,224.2
133,대전,2018-11,8,19.4,-2.3,49.8,177.1
133,대전,2018-12,.6,15,-11.1,33.7,190.3
133,대전,2019-01,0,9.5,-8.6,1.7,207.3
133,대전,2019-02,2,15.1,-7.5,46.3,187.2
133,대전,2019-03,7.7,21,-2.6,33.7,216.9
133,대전,2019-04,12.9,29.3,-1.1,91.6,202.4
133,대전,2019-05,19.7,32.7,5.6,35.6,297.8
133,대전,2019-06,22.6,33.2,12.9,77.9,228.5
133,대전,2019-07,25.8,35.1,17.2,199,181.7
133,대전,2019-08,27.2,36,18.3,104.3,230.1
133,대전,2019-09,22.5,31.5,12.3,167,153.2
133,대전,2019-10,16.2,27.5,4.6,106.1,206.9
133,대전,2019-11,8.7,22,-2.6,94,195.9
133,대전,2019-12,2.6,15.2,-9.6,27,166.4
133,대전,2020-01,2.7,14.2,-7.7,78.5,148
133,대전,2020-02,3.6,16.8,-10.5,91.2,184.7
133,대전,2020-03,8.5,23.1,-3.6,24.4,258
133,대전,2020-04,11.5,26.9,.6,17.8,301.3
133,대전,2020-05,18.8,29.3,8.6,80.4,239.9
133,대전,2020-06,24.1,34.3,15,192.5,209.7
133,대전,2020-07,23.6,31.6,17.3,544.9,95.9
133,대전,2020-08,27.5,35.4,22.8,361.6,176.8
133,대전,2020-09,21.2,31.4,12.3,173.6,196.3
133,대전,2020-10,14.2,25.5,3.4,3.2,224.1
133,대전,2020-11,8.6,22.1,-2.7,41.8,173.3
133,대전,2020-12,.5,13.4,-13.2,4.1,186.5
133,대전,2021-01,-1,14.5,-17.5,23.6,175.5
133,대전,2021-02,4,22.6,-8.9,14.1,205.4
133,대전,2021-03,9.6,24.4,-1.8,95.2,208.5
133,대전,2021-04,14.7,29.9,2.3,47.4,228.7
133,대전,2021-05,17.7,31.8,6,134.2,203.1
133,대전,2021-06,23.5,32.9,13.3,105.9,217.7
133,대전,2021-07,27.8,36.1,20.6,151.8,232.1
133,대전,2021-08,25.8,35.3,19.4,289.2,152.7
133,대전,2021-09,22.4,30.8,15.2,161.2,167.5
135,추풍령,2014-01,-.9,11.2,-12.6,6.7,206.4
135,추풍령,2014-02,.9,15,-10.5,13.8,148.8
135,추풍령,2014-03,6.8,25.1,-5.2,93.9,215.2
135,추풍령,2014-04,12.6,25.3,-2.8,100.6,219.4
135,추풍령,2014-05,17.6,35,1.7,20.8,305.8
135,추풍령,2014-06,20.8,30.6,13.5,102.9,165.7
135,추풍령,2014-07,24,33.1,16.6,74.8,165
135,추풍령,2014-08,22.2,30.8,13.2,402.3,104.8
135,추풍령,2014-09,19.1,30,8.4,88.8,184.5
