지점,지점명,일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일조시간(hr)
93,북춘천,2016-10,14.1,29,-1.9,112.1,185.3
93,북춘천,2016-11,5.1,19.5,-9.1,13.2,147.4
93,북춘천,2016-12,-.2,10.2,-12.1,83.1,142.3
93,북춘천,2017-01,-3.4,11.6,-17,15.9,204.2
93,북춘천,2017-02,-1.5,12.2,-15.7,11,214.9
93,북춘천,2017-03,4.6,19,-8.3,17.9,212.4
93,북춘천,2017-04,13.2,29.1,-.8,54.1,257.3
93,북춘천,2017-05,18.6,30.7,6.7,25.5,280.1
93,북춘천,2017-06,22.3,35,9.2,38.1,271.2
93,북춘천,2017-07,26.3,34.9,19.4,477.8,126.4
93,북춘천,2017-08,24.4,37.5,13.9,376.3,150.3
93,북춘천,2017-09,19.1,30.5,4.9,33.8,220.3
93,북춘천,2017-10,13.5,26.9,-3.7,42.6,196.9
93,북춘천,2017-11,3.2,18.8,-10.2,15.9,185.3
93,북춘천,2017-12,-4.3,8.6,-19,24.5,183.8
93,북춘천,2018-01,-6,8.6,-21.7,6.5,203
93,북춘천,2018-02,-3.4,10.4,-19.2,33,214.2
93,북춘천,2018-03,7,23.4,-8.2,32,204.3
93,북춘천,2018-04,12,29.2,-3,117.2,218.7
93,북춘천,2018-05,17.2,31,2.9,200.5,233.2
93,북춘천,2018-06,22.6,34.5,11.9,88.6,252.8
93,북춘천,2018-07,26.3,37.6,13.7,189.7,243.9
93,북춘천,2018-08,26.9,40.6,15.8,354.6,223
93,북춘천,2018-09,19.1,29.5,6.5,63,205.5
93,북춘천,2018-10,10.3,25,-2.5,102.6,200.3
93,북춘천,2018-11,5.1,19.3,-7.3,56.9,148.2
93,북춘천,2018-12,-3.2,12,-16.9,17.3,194.9
93,북춘천,2019-01,-3.9,8.3,-15.1,.2,228.9
93,북춘천,2019-02,-.6,13.4,-13.6,27.5,201.8
93,북춘천,2019-03,5,18.3,-7.3,30.9,199.4
