,도시,년,월,도매가격(원/kg)
199,연제,21,11,1482.801186708929
200,연제,21,10,1463.0390348280237
201,연제,22,8,676.7225091189546
202,연제,22,7,526.4619276789435
203,연제,22,6,524.7679093457735
204,연제,22,5,568.6960663001285
205,연제,22,4,930.2841002069953
206,연제,22,3,1468.8623709179867
207,연제,22,2,1599.088102563055
208,연제,22,1,1451.0553331737146
209,영암,21,12,1109.8330065026867
210,영암,21,11,1102.6743425522325
211,영암,21,10,1048.367986396134
212,영암,22,8,648.3121237852832
213,영암,22,7,523.9362504639532
214,영암,22,6,523.0671142027163
215,영암,22,5,572.2559603029233
216,영암,22,4,837.4323637546577
217,영암,22,3,1334.6795201365824
218,영암,22,2,1538.523692708581
219,영암,22,1,1342.2529056061303
220,영주,21,12,1095.9111492197455
221,영주,21,11,1091.7906796875336
222,영주,21,10,1040.0237616323395
223,영주,22,8,789.3427348676838
224,영주,22,7,690.3743419910955
225,영주,22,6,692.2296185023857
226,영주,22,5,768.7619220637202
227,영주,22,4,1053.5152322076547
228,영주,22,3,982.2959923081178
229,영주,22,2,1261.8863848424091
230,영주,22,1,968.6417838428994
231,영천,21,12,1133.3708877577328
232,영천,21,11,1128.6706669066696
233,영천,21,10,1072.152312946788
234,영천,22,8,661.9942471993087
235,영천,22,7,517.9017605809267
236,영천,22,6,517.0326243196898
237,영천,22,5,580.14065257606
238,영천,22,4,1006.2181074384944
239,영천,22,3,793.0379843240054
240,영천,22,2,1096.932266003699
241,영천,22,1,795.2454849443169
242,완주,21,12,1116.3729927251666
243,완주,21,11,1113.4175187345961
244,완주,21,10,1063.3799315674876
245,완주,22,8,795.269652829454
246,완주,22,7,695.3931725029629
247,완주,22,6,696.7569110543777
248,완주,22,5,773.2307803488819
249,완주,22,4,968.5725496952065
250,완주,22,3,1289.2601441441177
251,완주,22,2,1481.8996033357862
252,완주,22,1,1262.5254570785683
253,의령,21,12,1069.816532903307
254,의령,21,11,1058.8136733025099
255,의령,21,10,1017.512010022385
256,의령,22,8,655.2894893152205
257,의령,22,7,517.8381101601367
258,의령,22,6,516.9689738988997
259,의령,22,5,567.8376174407214
260,의령,22,4,849.9997375316401
261,의령,22,3,1225.1408649039388
262,의령,22,2,1386.656024494524
263,의령,22,1,1214.5507889390803
264,의성,21,12,1142.983487837339
265,의성,21,11,1136.9409200606133
266,의성,21,10,1069.5670540245899
267,의성,22,8,667.7565785233525
268,의성,22,7,518.0007574516186
269,의성,22,6,517.1316211903816
270,의성,22,5,574.6600188419227
271,의성,22,4,820.1719249758333
272,의성,22,3,957.8616570626103
273,의성,22,2,1187.096239465863
274,의성,22,1,954.3874472086145
275,익산,21,12,963.3573653200605
276,익산,21,11,942.7574852785259
277,익산,21,10,796.9731874130174
278,익산,22,8,664.6539659844224
279,익산,22,7,517.8250403109173
280,익산,22,6,516.9559040496803
281,익산,22,5,572.1371878221805
282,익산,22,4,801.756706837584
283,익산,22,3,1300.807742087374
284,익산,22,2,1442.3199817880497
285,익산,22,1,1281.26184896082
286,장흥,21,12,927.8683364121586
287,장흥,21,11,907.0800084632132
288,장흥,21,10,836.7743249269257
289,장흥,22,8,784.7458056580522
290,장흥,22,7,663.8422856194742
291,장흥,22,6,663.1341484214282
292,장흥,22,5,684.8268458716982
293,장흥,22,4,860.4443357435623
294,장흥,22,3,1049.3251754196592
295,장흥,22,2,1251.6403232040868
296,장흥,22,1,1081.9047833044735
297,제주,21,12,1211.3134048285256
298,제주,21,11,1191.6401102468005
299,제주,21,10,1156.634893617095
300,제주,22,7,497.06964503924115
301,제주,22,6,503.8725692895262
302,제주,22,5,582.3471827270795
303,제주,22,4,949.5777440034093
304,제주,22,3,1300.182108213617
305,제주,22,2,1403.4283919453767
306,제주,22,1,1280.9486475250221
307,제주,22,8,599.1058269354806
308,창원의창,21,12,1188.456382461447
309,창원의창,21,11,1170.3683971008877
310,창원의창,21,10,1133.1885015655769
311,창원의창,22,8,655.4608401968079
312,창원의창,22,7,517.7139792028629
313,창원의창,22,6,516.8448429416259
314,창원의창,22,5,570.7733111625686
315,창원의창,22,4,790.6926760134846
316,창원의창,22,3,1324.6661709590194
317,창원의창,22,2,1460.0528318745796
318,창원의창,22,1,1302.4453073455836
319,함양,21,12,1113.1283394009324
320,함양,21,11,1109.5425425780713
321,함양,21,10,1062.1276952047742
322,함양,22,8,695.1007166146879
323,함양,22,7,528.5568391622688
324,함양,22,6,526.7681106298459
325,함양,22,5,574.2974511249494
326,함양,22,4,1051.601422391728
327,함양,22,3,1176.4699486180575
328,함양,22,2,1433.2067725297072
329,함양,22,1,1175.2271214562868
330,해남,21,12,1078.6843209001554
331,해남,21,11,1071.495505530533
332,해남,21,10,1042.9087774457987
333,해남,22,8,770.1311014780133
334,해남,22,7,662.9371968834855
335,해남,22,6,662.2290596854397
336,해남,22,5,690.3824053728817
337,해남,22,4,861.2315011108714
338,해남,22,3,1043.3915170836308
339,해남,22,2,1267.3145631845678
340,해남,22,1,1083.548262542117
