,kind,market,corp,wide,city,price,year,month,area,ratio,amount,weather,inn,out
73,4,5,79,1,33,542.45,20,5,2825,8783,248082,10,1757.0379999999998,55.15000000000001
74,0,15,18,8,32,909.17,20,4,955,7594,72489,28,3978.408,5.0
75,4,13,40,6,38,253.29,18,6,11327,4932,558659,31,4233.002,155.28600000000003
76,0,20,28,1,33,600.0,20,1,2825,8783,248082,10,2686.0110000000004,3.76
77,5,27,66,9,19,454.7,19,11,944,5500,51922,17,3125.007,1558.0510000000004
78,8,10,75,2,26,510.57,16,5,2057,7117,146390,23,943.504,833.01
79,4,28,67,6,36,785.9,18,11,11327,4932,558659,21,5020.0059999999985,145.07999999999996
80,4,5,22,4,13,703.23,18,5,263,9368,24662,7,4752.003,34.90000000000001
81,6,7,27,1,33,694.44,21,7,4023,8423,338877,10,1759.3129999999999,3357.3
82,4,5,23,1,0,953.51,20,3,2825,8783,248082,1,4192.700000000002,1.76
83,2,1,5,6,36,526.48,19,5,8467,6873,581958,21,2304.702,912.246
84,6,19,51,7,30,562.47,20,9,1142,7896,90175,6,3378.003,2.2
85,4,21,54,2,29,923.47,20,11,2365,8098,191509,25,4786.045000000001,2.016
86,2,9,77,1,33,757.93,20,2,2825,8783,248082,10,2144.8110000000006,20.19
87,4,10,60,1,33,860.8,19,5,4330,8170,353752,10,2304.702,912.246
88,4,5,22,1,28,125.0,18,8,5471,6601,361120,24,4736.804000000001,436.75
89,1,2,12,2,1,621.51,19,2,3309,7471,247231,7,3132.005,165.31
90,2,29,68,1,33,280.26,19,6,4330,8170,353752,10,1395.514,10152.36
91,6,8,33,1,28,487.68,19,5,4330,8170,353752,24,2304.702,912.246
92,4,9,34,6,10,594.61,16,6,9521,5981,569472,4,2877.005000000001,3195.7
93,7,10,30,6,20,353.72,18,7,11327,4932,558659,8,3284.0330000000013,2294.8360000000002
94,4,26,64,7,3,919.06,20,3,1142,7896,90175,2,4192.700000000002,1.76
95,5,2,78,6,4,460.59,19,8,8467,6873,581958,3,1317.91,6311.0
96,0,5,21,2,29,370.86,19,10,3309,7471,247231,25,1702.412,5975.833000000001
97,2,10,75,1,33,390.0,21,6,4023,8423,338877,10,1815.108,3198.0
98,2,9,77,1,33,696.64,18,9,5471,6601,361120,10,3214.3150000000005,122.1
99,4,5,22,4,13,732.68,19,4,311,8426,26244,7,5370.9090000000015,10.409999999999998
100,0,28,70,1,37,1216.53,20,11,2825,8783,248082,30,4786.045000000001,2.016
101,4,10,60,6,4,801.01,21,4,6775,8547,579042,3,3842.014,41.540000000000006
102,0,2,12,6,20,146.01,19,6,8467,6873,581958,8,1395.514,10152.36
103,4,11,11,6,14,875.38,21,7,6775,8547,579042,8,1759.3129999999999,3357.3
104,4,1,6,6,10,708.63,17,5,9230,5578,514896,4,1415.802,7.0
105,4,5,22,2,8,323.65,19,12,3309,7471,247231,25,1447.099,1.66
106,1,19,51,7,30,1001.11,20,9,1142,7896,90175,6,3378.003,2.2
107,0,1,6,6,31,407.96,16,5,9521,5981,569472,26,943.504,833.01
108,4,17,48,2,26,377.44,19,7,3309,7471,247231,23,2498.442,20950.006
109,4,6,26,9,19,750.0,20,9,693,6620,45885,17,3378.003,2.2
110,4,5,23,2,2,504.8,21,5,3159,9739,307653,30,1517.1129999999994,4.9
111,0,9,16,1,35,372.23,19,8,4330,8170,353752,15,1317.91,6311.0
112,2,9,77,6,4,850.32,20,4,5743,7883,452737,3,3978.408,5.0
