,kind,market,corp,wide,city,price,year,month,area,ratio,amount,weather,inn,out
69,1,4,8,2,7,651.67,21,8,3159,9739,307653,5,2027.112,271.105
70,4,5,23,2,8,697.46,21,8,3159,9739,307653,25,2027.112,271.105
71,4,5,79,2,8,658.2,21,8,3159,9739,307653,25,2027.112,271.105
72,4,5,22,2,8,666.96,21,8,3159,9739,307653,25,2027.112,271.105
73,4,8,15,2,8,697.62,21,8,3159,9739,307653,25,2027.112,271.105
74,4,6,26,2,8,617.8,21,8,3159,9739,307653,25,2027.112,271.105
75,4,7,14,2,8,692.19,21,8,3159,9739,307653,25,2027.112,271.105
76,4,7,27,2,8,613.16,21,8,3159,9739,307653,25,2027.112,271.105
77,4,4,9,2,8,780.0,21,8,3159,9739,307653,25,2027.112,271.105
78,0,3,13,2,8,600.0,21,8,3159,9739,307653,25,2027.112,271.105
79,0,8,29,2,8,733.41,21,8,3159,9739,307653,25,2027.112,271.105
80,0,4,8,2,8,704.56,21,8,3159,9739,307653,25,2027.112,271.105
81,2,8,33,2,8,724.71,21,8,3159,9739,307653,25,2027.112,271.105
82,2,17,47,2,8,715.16,21,8,3159,9739,307653,25,2027.112,271.105
83,6,5,23,2,8,675.0,21,8,3159,9739,307653,25,2027.112,271.105
84,4,5,23,2,21,602.47,21,8,3159,9739,307653,19,2027.112,271.105
85,4,5,79,2,21,473.24,21,8,3159,9739,307653,19,2027.112,271.105
86,4,9,34,2,21,761.66,21,8,3159,9739,307653,19,2027.112,271.105
87,4,8,15,2,21,627.27,21,8,3159,9739,307653,19,2027.112,271.105
88,4,6,25,2,21,711.0,21,8,3159,9739,307653,19,2027.112,271.105
89,4,16,46,2,21,757.67,21,8,3159,9739,307653,19,2027.112,271.105
90,0,10,10,2,21,1250.0,21,8,3159,9739,307653,19,2027.112,271.105
91,0,8,29,2,21,613.72,21,8,3159,9739,307653,19,2027.112,271.105
92,0,6,25,2,21,761.67,21,8,3159,9739,307653,19,2027.112,271.105
93,0,14,42,2,21,639.82,21,8,3159,9739,307653,19,2027.112,271.105
94,0,14,43,2,21,366.58,21,8,3159,9739,307653,19,2027.112,271.105
95,2,3,55,2,21,700.82,21,8,3159,9739,307653,19,2027.112,271.105
96,4,21,3,2,15,919.68,21,8,3159,9739,307653,9,2027.112,271.105
97,4,6,26,2,15,966.67,21,8,3159,9739,307653,9,2027.112,271.105
98,4,12,2,2,15,954.09,21,8,3159,9739,307653,9,2027.112,271.105
99,4,27,66,2,15,1039.9,21,8,3159,9739,307653,9,2027.112,271.105
100,4,16,45,2,15,897.84,21,8,3159,9739,307653,9,2027.112,271.105
101,4,16,46,2,15,911.8,21,8,3159,9739,307653,9,2027.112,271.105
102,4,30,72,2,15,521.15,21,8,3159,9739,307653,9,2027.112,271.105
103,0,30,71,2,15,775.69,21,8,3159,9739,307653,9,2027.112,271.105
104,0,14,42,2,15,530.0,21,8,3159,9739,307653,9,2027.112,271.105
105,7,3,13,2,15,950.3,21,8,3159,9739,307653,9,2027.112,271.105
106,7,11,11,2,15,922.86,21,8,3159,9739,307653,9,2027.112,271.105
107,2,10,60,2,15,642.92,21,8,3159,9739,307653,9,2027.112,271.105
108,6,12,2,2,15,1349.71,21,8,3159,9739,307653,9,2027.112,271.105
109,4,7,27,2,25,535.64,21,8,3159,9739,307653,22,2027.112,271.105
110,4,18,76,2,25,1001.61,21,8,3159,9739,307653,22,2027.112,271.105
111,0,5,21,2,25,610.0,21,8,3159,9739,307653,22,2027.112,271.105
112,0,3,55,2,25,662.81,21,8,3159,9739,307653,22,2027.112,271.105
113,0,18,76,2,25,1200.0,21,8,3159,9739,307653,22,2027.112,271.105
114,7,10,75,2,25,770.85,21,8,3159,9739,307653,22,2027.112,271.105
115,2,10,75,2,25,622.57,21,8,3159,9739,307653,22,2027.112,271.105
116,2,10,37,2,25,616.06,21,8,3159,9739,307653,22,2027.112,271.105
117,2,3,55,2,25,582.34,21,8,3159,9739,307653,22,2027.112,271.105
118,4,5,23,2,9,602.02,21,8,3159,9739,307653,29,2027.112,271.105
119,4,9,34,2,9,500.0,21,8,3159,9739,307653,29,2027.112,271.105
120,4,21,54,2,9,709.19,21,8,3159,9739,307653,29,2027.112,271.105
121,4,6,25,2,9,791.93,21,8,3159,9739,307653,29,2027.112,271.105
122,4,7,14,2,9,555.0,21,8,3159,9739,307653,29,2027.112,271.105
123,4,7,27,2,9,846.67,21,8,3159,9739,307653,29,2027.112,271.105
124,4,16,46,2,9,766.98,21,8,3159,9739,307653,29,2027.112,271.105
125,4,4,9,2,9,606.32,21,8,3159,9739,307653,29,2027.112,271.105
126,0,10,10,2,9,959.01,21,8,3159,9739,307653,29,2027.112,271.105
127,0,5,17,2,9,675.53,21,8,3159,9739,307653,29,2027.112,271.105
128,0,28,70,2,9,677.52,21,8,3159,9739,307653,29,2027.112,271.105
129,0,4,8,2,9,747.85,21,8,3159,9739,307653,29,2027.112,271.105
130,7,10,75,2,9,822.94,21,8,3159,9739,307653,29,2027.112,271.105
131,7,10,30,2,9,657.5,21,8,3159,9739,307653,29,2027.112,271.105
132,2,10,10,2,9,636.13,21,8,3159,9739,307653,29,2027.112,271.105
133,2,10,75,2,9,703.87,21,8,3159,9739,307653,29,2027.112,271.105
134,2,10,30,2,9,609.55,21,8,3159,9739,307653,29,2027.112,271.105
135,2,9,77,2,9,743.15,21,8,3159,9739,307653,29,2027.112,271.105
136,6,28,70,2,9,750.0,21,8,3159,9739,307653,29,2027.112,271.105
137,4,5,22,2,1,613.23,21,8,3159,9739,307653,7,2027.112,271.105
138,4,5,79,2,1,505.58,21,8,3159,9739,307653,7,2027.112,271.105
139,4,5,23,2,1,433.48,21,8,3159,9739,307653,7,2027.112,271.105
140,4,9,34,2,1,568.87,21,8,3159,9739,307653,7,2027.112,271.105
141,4,8,15,2,1,484.33,21,8,3159,9739,307653,7,2027.112,271.105
142,4,6,26,2,1,613.6,21,8,3159,9739,307653,7,2027.112,271.105
143,4,7,27,2,1,731.78,21,8,3159,9739,307653,7,2027.112,271.105
144,0,5,17,2,1,566.77,21,8,3159,9739,307653,7,2027.112,271.105
